Brand;Model;SettingClass
Acura;"2017 NSX";class-c
"Aston Martin";Vulcan;class-a
"Aston Martin";DB11;class-b
BMW;"M4 GTS";class-c
BMW;"Z4 LCI E89";class-d
BMW;"3.0 CSL Hommage";class-c
Bugatti;Chiron;class-s
Cadillac;"Cien Concept";class-b
Chevrolet;"Camaro LT";class-d
Chevrolet;"Camaro ZL1 50th Edition";class-c
Chevrolet;"Corvette Grand Sport";class-b
Dodge;"Viper ACR";class-c
Dodge;"Viper GTS";class-a
Dodge;"Challenger Pack 392 Hemi Scat";class-d
Dodge;"Challenger SRT8";class-c
"DS Automobiles";"DS E-Tense";class-d
"Exotic Rides";W70;class-b
Ferrari;F12TDF;class-b
Ferrari;LaFerrari;class-a
Ferrari;"488 GTB";class-b
Ferrari;"FXX K";class-s
Ford;"Shelby GT350R";class-d
Ford;GT;class-b
Glickenhaus;003S;class-b
Icona;"Vulcano Titanium";class-s
Jaguar;"F-Type SVR";class-b
Koenigsegg;Regera;class-s
Lamborghini;Asterion;class-b
Lamborghini;Centenario;class-s
Lamborghini;"Terzo Millennio";class-s
Lamborghini;Egoista;class-s
Lamborghini;"Aventador SV Coupé";class-a
Lotus;"Evora Sport 410";class-c
McLaren;P1;class-a
Mercedes-Benz;"AMG GT S";class-c
Mitsubishi;"Lancer Evolution";class-d
Nissan;"37OZ Nismo";class-d
Nissan;"GT-R Nismo";class-a
Pagani;"Huayra BC";class-a
Pininfarina;"H2 Speed";class-c
Porsche;"911 GTS Coupé";class-b
Porsche;"718 Cayman";class-d
Porsche;"918 Spyder";class-a
Rezvani;"Beast X";class-c
Rimac;"C TWO";class-s
Trion;Nemesis;class-s
VLF;"Force 1 V10";class-a
Volkswagen;"XL Sport Concept";class-d
"W Motors";"Lykan Hypersport";class-s
"W Motors";"Fenyr Supersport";class-s
Ferrari;J50;class-a
Lotus;"Elise Sprint 220";class-d
Genty;Akylone;class-a
Maserati;Alfieri;class-c
McLaren;"570S Spider";class-a
Sin;"R1 550";class-b
Apollo;N;class-b
Vencer;Sarthe;class-c
Zenvo;"TS1 GT Anniversary";class-s
Lamborghini;"Huracán Evo Spyder";class-b
Lamborghini;"Aventador J";class-a
Mercedes-Benz;"SLR McLaren";class-b
Ferrari;"LaFerrari Aperta";class-a
Ferrari;"812 Superfast";class-a
Ginetta;G60;class-d
Koenigsegg;Jesko;class-s
Porsche;"911 Targa 4S";class-d
Arrinera;"Hussarya 33";class-c
Artega;"Scalo Superelletra";class-c
"Aston Martin";"Vantage GT12";class-b
McLaren;Senna;class-s
Porsche;"911 GT3 RS";class-b
TVR;Griffith;class-d
"Aston Martin";"DBS Superleggera";class-b
"Automobili Pininfarina";Battista;class-s
"Vanda Electrics";Dendrobium;class-a
Chevrolet;"Corvette ZR1";class-a
Ford;"Shelby GR-1";class-c
Italdesign;Zerouno;class-b
Mazda;Furai;class-d
Nissan;"Leaf Nismo RC";class-d
Rimac;Nevera;class-s
Techrules;"AT96 track version";class-a
Honda;"Civic Type-R";class-d
Lotus;Evija;class-b
Porsche;"911 GT1 Evolution";class-b
Porsche;"Carrera GT";class-b
Porsche;"718 Cayman GT4 Clubsport";class-c
Porsche;"911 GT2 RS Clubsport";class-a
Porsche;"Taycan Turbo S";class-d
Lamborghini;"Gallardo LP560-4";class-c
Lamborghini;Veneno;class-s
Lamborghini;"Sián FKP 37";class-s
Lamborghini;SC18;class-a
McLaren;"F1 LM";class-b
BXR;"Bailey Blade GT1";class-s
Chevrolet;"Corvette Stingray";class-c
Chevrolet;"Corvette C7.R";class-d
Ford;"GT MK II";class-b
SSC;Tuatara;class-s
Apex;AP-0;class-b
"Aston Martin";"Valhalla Concept Car";class-a
Bentley;"Mulliner Bacalar";class-c
Bentley;"Continental GT3";class-d
Jaguar;C-X75;class-a
McLaren;Speedtail;class-s
Ferrari;"599XX EVO";class-c
Ferrari;"Enzo Ferrari";class-b
Ferrari;"F8 Tributo";class-a
Ferrari;"SF90 Stradale";class-s
Ferrari;F40;class-c
Ferrari;"488 GTB Challenge EVO";class-b
Apollo;IE;class-b
BMW;"I8 Roadster";class-d
Bugatti;"La Voiture Noire";class-s
Bugatti;Divo;class-s
Citroën;"GT by Citroën";class-a
Lamborghini;"Huracán Super Trofeo Evo";class-d
Peugeot;Onyx;class-a
Acura;"NSX GT3 EVO";class-c
Aspark;Owl;class-s
"Inferno Automobili";Inferno;class-s
"Inferno Automobili";"Settimo Cerchio";class-s
Infiniti;"Projet Black S";class-d
Nio;EP9;class-a
"ATS Automobili";"Corsa RRTurbo";class-c
Ferrari;Roma;class-b
Italdesign;DaVinci;class-d
Lamborghini;"Murcielago LP 640 Roadster";class-b
Lamborghini;"Essenza SCV12";class-b
Mazzanti;"Evantra Millecavalli";class-s
Pagani;Imola;class-a
"Aston Martin";Valkyrie;class-s
"Aston Martin";Victor;class-a
Renault;"R.S. 01";class-c
Volkswagen;"W12 Coupe";class-b
Zenvo;TSR-S;class-b
"Aston Martin";"V12 Speedster";class-c
Bugatti;"Veyron 16.4 Grand Sport Vitesse";class-s
Hennessey;"Venom F5";class-s
Lamborghini;"Aventador SVJ Roadster";class-a
Lamborghini;SC20;class-a
McLaren;Elva;class-b
Drako;GTE;class-b
"Lego Technic";"McLaren Senna GTR";class-a
Pagani;"Zonda HP Barchetta";class-a
Raesr;"Tachyon Speed";class-s
Renault;TreZor;class-d
Rimac;Concept_One;class-a
Toroidion;1MW;class-s
Volkswagen;"Electric R";class-d
Arash;AF10;class-b
Glickenhaus;004C;class-d
Glickenhaus;007S;class-a
Koenigsegg;Gemera;class-s
Lotus;Emira;class-d
McLaren;GT;class-c
Naran;"Hyper Coupé";class-s
Nissan;"GTR-50 Italdesign";class-b
Pagani;"Zonda R";class-a
Saleen;S1;class-c
"Aston Martin";One77;class-b
McLaren;"Senna GTR";class-a
Puritalia;Berlinetta;class-b
Ultima;RS;class-s
Vision;1789;class-s
Arash;"AF8 Falcon Édition";class-b
Bolwell;"MK X Nagari 500";class-c
Brabham;BT62;class-c
Tushek;"TS 900 Racer Pro";class-s
Lamborghini;"Countach 25th Anniversary";class-d
Lamborghini;"Miura Concept";class-c
Lamborghini;"Diablo GT";class-c
